station,k,swa
ARAZ,3.6,3.53
NS01,3.67,3.59
NS02,3.58,3.49
NS03,2.55,2.51
NS04,2.96,2.9
NS06,4.67,4.53
NS07,3.03,2.97
NS10,4.7,4.56
NS11,4.85,4.69
NS12,4.21,4.09
NS13,2.73,2.68
NS14,5.65,5.46
NS15,2.41,2.38
NS16,2.84,2.78
NS18,4.43,4.28
RT01,3.73,3.63
RT02,6.73,6.46
RT03,5.81,5.61
RT05,3.44,3.35 
RT06,3.58,3.51 
RT07,3.5,3.39 
RT08,4.72,4.57 
RT09,3.8,3.7 
RT11,4.44,4.3 
RT12,4.24,4.13 
RT13,4.54,4.39 
RT14,4.78,4.63 
RT15,6.34,6.07 
RT17,4.94,4.78 
RT19,4.43,4.28 
RT20,4.97,4.77 
RT21,4.57,4.43 
RT22,4.32,4.21 
RT23,4.22,4.1 
WPRZ,3.5,3.41 
